benchmark,type,memtraffic,L1Refill,L1WB,LLCRefill,LLCWB
im2col,dtu,1.400391937103075,0.3092166551135212,0.0519796566567048,0.3532406513298829,0.0486952207955424
im2col,cpu,1.0,1.0,1.0,1.0,1.0
dbproj,dtu,0.8072139935413722,0.1617546871174124,1.0202102911930242,0.1199305884451773,0.5818460755919055
dbproj,cpu,1.0,1.0,1.0,1.0,1.0
unfold,dtu,0.8738198614916477,0.2499756007026845,0.492309941758998,0.2504148568097216,0.5543921389572422
unfold,cpu,1.0,1.0,1.0,1.0,1.0
img_aug,dtu,1.183562620807782,0.1599462541526469,0.416448759410714,0.4403699480358771,0.498394509367187
img_aug,cpu,1.0,1.0,1.0,1.0,1.0
vol2col,dtu,0.5285291810273155,0.12247208861061014,0.019112418126903227,0.1826684072294115,0.025920956895354775
vol2col,cpu,1.0,1.0,1.0,1.0,1.0
