benchmark,type,memtraffic,L1Refill,L1WB,LLCRefill,LLCWB
dbproj,dtu,0.788518636483331,0.1175547242714484,0.9679732645466744,0.0942692198293208,0.6324227487339906
dbproj,cpu,1.0,1.0,1.0,1.0,1.0
im2col,dtu,0.514044313222587,0.3137407320545609,0.0424825364116437,0.3691855653711521,0.0480624364594693
im2col,cpu,1.0,1.0,1.0,1.0,1.0
img_augmentation,dtu,1.749863502650407,0.1989052921068748,0.4296568774493001,0.4579062912921967,0.4837665400272179
img_augmentation,cpu,1.0,1.0,1.0,1.0,1.0
unfold,dtu,0.8467507783376723,0.2426347430706775,0.4920248708133182,0.241360776230445,0.5568839667574345
unfold,cpu,1.0,1.0,1.0,1.0,1.0
vol2col,dtu,0.2328277291044515,0.1262826519606919,0.0200300902241471,0.1847955059130761,0.0259961011346517
vol2col,cpu,1.0,1.0,1.0,1.0,1.0
