benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_1_128,cpu,0,2106633,1422763,90239,5560,90652,5335,95799,0,171877880
dbcolproj_83690_1_128,col,0,634007,1506453,10788,3258,10546,5013,14049,0,171877880
dbcolproj_83690_1_128,dtu,0,474294,209271,10482,5697,10518,5270,10942,83748,171877880
dbcolproj_83690_2_128,cpu,0,4245897,2266455,326291,20047,180142,10853,346337,0,342387978
dbcolproj_83690_2_128,col,0,1061244,2427043,21644,3672,21165,10260,25316,0,342387978
dbcolproj_83690_2_128,dtu,0,948280,418496,20973,9349,21039,10495,19856,167428,342387978
dbcolproj_83690_3_128,cpu,0,6126001,3110147,448052,26290,269719,16387,474347,0,514432714
dbcolproj_83690_3_128,col,0,1834331,3354425,32847,6922,32176,15633,39770,0,514432714
dbcolproj_83690_3_128,dtu,0,1436202,634513,31659,14170,31794,15813,30138,251136,514432714
dbcolproj_83690_4_128,cpu,0,7720946,3947047,523119,35556,359013,21811,558679,0,685980259
dbcolproj_83690_4_128,col,0,2826651,4275015,42675,9137,42911,20887,51814,0,685980259
dbcolproj_83690_4_128,dtu,0,2013823,843738,42557,18495,42545,21045,39737,341072,685980259
dbcolproj_83690_5_128,cpu,0,9082206,4792342,569596,40700,449837,27319,610299,0,857049531
dbcolproj_83690_5_128,col,0,3890074,5195605,53223,12610,53668,26088,65835,0,857049531
dbcolproj_83690_5_128,dtu,0,2501059,1052963,53003,23424,53095,26261,49841,425440,857049531
dbcolproj_83690_6_128,cpu,0,10154161,5620847,625474,45616,538883,32585,671094,0,1027961808
dbcolproj_83690_6_128,col,0,5166648,6134029,64331,17338,64907,31567,81676,0,1027961808
dbcolproj_83690_6_128,dtu,0,3001251,1262188,63633,28063,63635,31502,59803,510372,1027961808
dbcolproj_83690_7_128,cpu,0,11156524,6457809,675696,50938,628192,37970,726639,0,1199226824
dbcolproj_83690_7_128,col,0,6524719,7036785,73909,21043,75343,36593,94952,0,1199226824
dbcolproj_83690_7_128,dtu,0,3355929,1471413,73608,32928,73849,36714,69922,585872,1199226824
dbcolproj_83690_8_128,cpu,0,12217765,7301439,713979,56055,717785,43538,770038,0,1370690087
dbcolproj_83690_8_128,col,0,8355544,7964167,84672,25438,86362,42017,110115,0,1370690087
dbcolproj_83690_8_128,dtu,0,3809098,1682626,84236,37673,84383,41977,80067,669552,1370690087
