benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_720_1080_3_2,cpu,41585518,92672728,187799320,1785192,661966,1832736,643065,2447163,0,46556225.682564
im2col_720_1080_3_2,dtu,0,54207285,75893410,635203,55473,658808,60773,108392,1128641,46556225.682564
im2col_720_1080_3_3,cpu,209951050,325820208,510486658,4034323,1426218,5527577,2202547,5460542,0,104510508.703681
im2col_720_1080_3_3,dtu,0,117554003,169626213,1366596,59106,1471031,75031,119350,2505315,104510508.703681
im2col_720_1080_3_4,cpu,373503740,574712629,904692384,7115629,2467567,9864081,3921209,9583197,0,185368372.285505
im2col_720_1080_3_4,dtu,0,203752779,300374572,2390276,62749,2529917,88154,132322,4501834,185368372.285505
im2col_720_1080_3_5,cpu,581333725,894124714,1410770514,11108258,3845520,15495906,6025577,14953776,2,288966436.730617
im2col_720_1080_3_5,dtu,0,315579303,468494333,3750833,112852,3895591,151162,245107,6882060,288966436.730617
im2col_512_512_3_2,cpu,14367484,32703150,63242326,536555,240366,679359,246531,776924,0,15660739.682568
im2col_512_512_3_2,dtu,0,20317469,25546533,214434,22087,251497,17777,40147,380816,15660739.682568
im2col_512_512_3_3,cpu,31878906,72689581,141500090,1166741,482597,1437783,459699,1649342,1,35097764.368288
im2col_512_512_3_3,dtu,0,43387352,57024168,470704,23925,546726,18957,45042,862776,35097764.368288
im2col_512_512_3_4,cpu,56422713,125329487,250405749,2025250,822904,2563487,823334,2848158,0,62151040.594557
im2col_512_512_3_4,dtu,0,74678452,100788467,801629,25391,970467,21217,48734,1511909,62151040.594557
im2col_512_512_3_5,cpu,193193081,298524243,472550807,3258876,1301240,5228426,2019028,4560117,0,96728317.448405
im2col_512_512_3_5,dtu,0,105194016,156930990,1259366,41849,1293689,49679,86063,2311738,96728317.448405
