benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_1_64,cpu,0,1928650,1429555,89974,7244,90188,5431,147935,0,171348942
dbcolproj_83690_1_64,col,0,636604,1506453,10795,4695,10550,5018,48375,0,171348942
dbcolproj_83690_1_64,dtu,0,502449,209271,10511,5180,10524,5300,46709,83744,171348942
dbcolproj_83690_2_64,cpu,0,3769896,2259663,279481,18927,179254,10819,430899,0,343055996
dbcolproj_83690_2_64,col,0,1090373,2427043,21656,3837,21248,10268,52362,0,343055996
dbcolproj_83690_2_64,dtu,0,995605,418496,20984,9619,21042,10506,87467,167424,343084814
dbcolproj_83690_3_64,cpu,0,4005874,3103355,297906,23198,185493,16167,483490,0,514196633
dbcolproj_83690_3_64,col,0,1834953,3354425,32907,7874,32111,15649,95908,0,514196633
dbcolproj_83690_3_64,dtu,0,1490789,634513,31756,14355,31825,15893,130902,251072,514196633
dbcolproj_83690_4_64,cpu,0,5132519,3940255,342120,28224,274754,21620,567905,0,685765807
dbcolproj_83690_4_64,col,0,2843845,4275015,42895,12215,42917,20854,140640,0,685765807
dbcolproj_83690_4_64,dtu,0,1989034,843738,42269,19787,42295,21115,179649,334769,685794746
dbcolproj_83690_5_64,cpu,0,5348943,4777155,354755,34160,279469,26885,628036,0,857656862
dbcolproj_83690_5_64,col,0,3958769,5195605,53121,16638,53560,26098,186231,16,857656862
dbcolproj_83690_5_64,dtu,0,2473288,1052963,52452,24766,52700,26290,224404,418492,857656862
dbcolproj_83690_6_64,cpu,0,6329961,5620847,377405,39253,370511,32424,691421,0,1028292886
dbcolproj_83690_6_64,col,0,7977706,8249207,67474,22140,97718,50264,244613,0,1028292886
dbcolproj_83690_6_64,dtu,0,2954287,1262188,63017,29365,63333,31551,266551,502161,1028292886
dbcolproj_83690_7_64,cpu,0,6569023,6450955,382753,44333,374769,37584,737399,0,1199800837
dbcolproj_83690_7_64,col,0,9947051,9550591,79305,27863,115106,59747,302207,0,1199800837
dbcolproj_83690_7_64,dtu,0,6342062,3968615,77697,35962,106048,52900,328787,585984,1199800837
dbcolproj_83690_8_64,cpu,0,6902697,7294647,388368,49331,380378,42887,783008,0,1371400385
dbcolproj_83690_8_64,col,0,12142334,10809950,89661,33194,132397,68143,355230,0,1371400385
dbcolproj_83690_8_64,dtu,0,7273607,4528292,88964,41567,125661,63215,379654,669552,1371400385
dbcolproj_83690_1_64,cpu,0,1907364,1429555,89848,6452,90200,5445,141464,0,171348942
dbcolproj_83690_1_64,col,0,636594,1506453,10823,3942,10545,4998,42370,0,171348942
dbcolproj_83690_1_64,dtu,0,499932,209271,10503,5030,10531,5294,45509,83728,171348942
dbcolproj_83690_2_64,cpu,0,3808537,2266455,279140,19333,180173,10974,433797,0,343055996
dbcolproj_83690_2_64,col,0,1085414,2433835,22089,4017,21492,10372,54252,0,343055996
dbcolproj_83690_2_64,dtu,0,994676,418496,20983,9733,21043,10528,88390,167440,343084814
dbcolproj_83690_3_64,cpu,0,3978394,3103355,297328,24262,184815,16190,491397,0,514196633
dbcolproj_83690_3_64,col,0,1843687,3354425,32863,7820,32127,15626,95424,0,514196633
dbcolproj_83690_3_64,dtu,0,1480216,627721,31476,14661,31562,15722,133071,251088,514196633
dbcolproj_83690_4_64,cpu,0,5133273,3940255,341354,29171,274762,21596,574726,0,685765807
dbcolproj_83690_4_64,col,0,2839531,4275015,42849,12168,42933,20844,140193,0,685765807
dbcolproj_83690_4_64,dtu,0,2003345,843738,42321,19579,42313,21121,178027,334832,685765807
dbcolproj_83690_5_64,cpu,0,5370333,4777155,354191,34145,280141,26842,627349,0,857656862
dbcolproj_83690_5_64,col,0,3944204,5195605,53105,16244,53674,26165,183067,0,857656862
dbcolproj_83690_5_64,dtu,0,2473252,1046171,52479,24477,52589,26180,222147,418512,857679744
dbcolproj_83690_6_64,cpu,0,6312443,5614055,376646,39220,369557,32369,690406,0,1028292886
dbcolproj_83690_6_64,col,0,8014042,8257200,67498,22073,99425,50848,244107,0,1028292886
dbcolproj_83690_6_64,dtu,0,2982137,1262188,63285,29449,63311,31553,267508,502176,1028292886
dbcolproj_83690_7_64,cpu,0,6585025,6457747,383132,44264,375789,37713,737220,0,1199800837
dbcolproj_83690_7_64,col,0,9863656,9533994,78518,27676,114510,58695,299936,0,1199800837
dbcolproj_83690_7_64,dtu,0,6290895,3961946,77298,36033,109303,54675,328950,585872,1199800837
dbcolproj_83690_8_64,cpu,0,10766824,10151829,398077,52546,477845,98773,818412,0,1371400385
dbcolproj_83690_8_64,col,0,12158147,10818450,89432,33489,132090,68101,357362,0,1371400385
dbcolproj_83690_8_64,dtu,0,7242729,4529836,88839,41167,124794,63434,376332,669600,1371400385
dbcolproj_83690_1_64,cpu,0,1865174,1429555,89854,6430,90228,5454,141294,0,171348942
dbcolproj_83690_1_64,col,0,631673,1506453,10821,3971,10542,4996,42578,0,171348942
dbcolproj_83690_1_64,dtu,0,500949,209271,10505,4897,10536,5294,44453,83728,171348942
dbcolproj_83690_2_64,cpu,0,3831967,2266455,280011,19293,180228,11007,434356,0,343055996
dbcolproj_83690_2_64,col,0,1088524,2433835,22028,3836,21459,10377,52730,16,343055996
dbcolproj_83690_2_64,dtu,0,991137,418496,20987,9665,21053,10494,87835,167434,343055996
dbcolproj_83690_3_64,cpu,0,3969690,3103355,297834,24124,184789,16183,490816,0,514196633
dbcolproj_83690_3_64,col,0,1842737,3354425,32867,7667,32213,15624,94218,0,514196633
dbcolproj_83690_3_64,dtu,0,1495102,634513,31752,14788,31781,15856,134369,251120,514196633
dbcolproj_83690_4_64,cpu,0,5141314,3940255,341243,29182,274703,21585,574699,0,685765807
dbcolproj_83690_4_64,col,0,2849661,4275015,42854,12110,42852,20854,139735,0,685765807
dbcolproj_83690_4_64,dtu,0,1989349,843738,42258,19348,42308,21087,176125,334832,685765807
dbcolproj_83690_5_64,cpu,0,5388249,4777155,353748,34211,280126,26863,627420,0,857656862
dbcolproj_83690_5_64,col,0,3918443,5195605,53161,16447,53527,26116,184762,0,857656862
dbcolproj_83690_5_64,dtu,0,2458628,1046171,52484,24535,52598,26203,222607,418496,857656862
