benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
dbcolproj_83690_1_128,cpu,0,2323163,1692359,104556,91786,171877880
dbcolproj_83690_1_128,dtu,0,895301,557747,24573,11012,171877880
dbcolproj_83690_2_128,cpu,0,5392276,2803489,212793,325262,342387978
dbcolproj_83690_2_128,dtu,0,1835799,1152821,50663,22312,342387978
dbcolproj_83690_3_128,cpu,0,7622779,3932284,323961,453390,514432714
dbcolproj_83690_3_128,dtu,0,2735802,1714200,76298,33299,514432714
dbcolproj_83690_4_128,cpu,0,9440810,5046751,438018,537688,685980259
dbcolproj_83690_4_128,dtu,0,3630348,2290189,100848,44317,685980259
dbcolproj_83690_5_128,cpu,0,11140326,6152192,557832,588653,857049531
dbcolproj_83690_5_128,dtu,0,4612115,2859864,132107,56654,857049531
dbcolproj_83690_6_128,cpu,0,12731059,7280487,675853,639380,1027961808
dbcolproj_83690_6_128,dtu,0,5434903,3409455,152314,66148,1027961808
dbcolproj_83690_7_128,cpu,0,14387986,8384027,807199,689483,1199226824
dbcolproj_83690_7_128,dtu,0,6361325,3998768,178239,77339,1199226824
dbcolproj_83690_8_128,cpu,0,16007043,9500119,936480,728610,1370690087
dbcolproj_83690_8_128,dtu,0,7243640,4554675,202237,88341,1370690087
dbcolproj_83690_1_128,cpu,0,2318429,1688890,104590,91490,171877880
dbcolproj_83690_1_128,dtu,0,950441,579888,25652,11284,171877880
dbcolproj_83690_2_128,cpu,0,4489407,2099064,191096,321905,342387978
dbcolproj_83690_2_128,dtu,0,1865041,1127470,49792,22785,342387978
dbcolproj_83690_3_128,cpu,0,6694538,3197229,300206,449188,514432714
dbcolproj_83690_3_128,dtu,0,2738711,1694095,75466,32909,514432714
dbcolproj_83690_4_128,cpu,0,7560582,3612276,382037,532716,685980259
dbcolproj_83690_4_128,dtu,0,2817260,1549769,79811,43254,685980259
dbcolproj_83690_5_128,cpu,0,8696705,4365486,476915,580953,857049531
dbcolproj_83690_5_128,dtu,0,3317798,1762631,93978,54203,857049531
