benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_1_64,cpu,0,2219992,1431180,89936,9587,90862,5428,166631,0,171348942
dbcolproj_83690_1_64,col,0,645051,1506453,10724,4921,10556,4990,50090,0,171348942
dbcolproj_83690_1_64,dtu,0,534211,209271,10503,5376,10527,5271,48279,83706,171348942
dbcolproj_83690_2_64,cpu,0,4358654,2266455,272472,25244,179457,10915,474425,0,343055996
dbcolproj_83690_2_64,col,0,1104600,2433835,22059,2699,21468,10368,43658,0,343055996
dbcolproj_83690_2_64,dtu,0,1029221,418496,20976,8548,21048,10505,78888,167440,343055996
dbcolproj_83690_3_64,cpu,0,4568024,3103355,288180,31555,184810,16158,540612,0,514196633
dbcolproj_83690_3_64,col,0,1855524,3354425,32888,5786,32191,15636,79176,0,514196633
dbcolproj_83690_3_64,dtu,0,1556579,627721,31467,13642,31558,15727,124877,251120,514196633
dbcolproj_83690_4_64,cpu,0,5877509,3940255,337814,35890,274092,21586,624927,0,685765807
dbcolproj_83690_4_64,col,0,2904253,4268223,42213,8838,42650,20767,112916,0,685765807
dbcolproj_83690_4_64,dtu,0,2080046,836946,41937,19251,42090,20940,175013,334800,685794746
dbcolproj_83690_5_64,cpu,0,6223500,4777155,350521,41854,280159,26874,685345,0,857656862
dbcolproj_83690_5_64,col,0,4020270,5195605,53050,12780,53551,26112,155280,0,857656862
dbcolproj_83690_5_64,dtu,0,2620301,1052963,52665,24072,52807,26308,219091,418528,857656862
dbcolproj_83690_6_64,cpu,0,7297467,5614055,377362,45716,370222,32311,743090,0,1028292886
dbcolproj_83690_6_64,col,0,8103754,8249876,66468,17010,95627,49074,202545,0,1028292886
dbcolproj_83690_6_64,dtu,0,3117522,1262188,63103,28879,63346,31538,262739,502192,1028292886
dbcolproj_83690_7_64,cpu,0,7693251,6457747,382753,50687,375734,37665,788244,0,1199800837
dbcolproj_83690_7_64,col,0,10099228,9541242,77619,21735,114325,59248,251508,0,1199800837
dbcolproj_83690_7_64,dtu,0,6516655,3968369,76025,34191,104996,51721,312929,585888,1199800837
dbcolproj_83690_8_64,cpu,0,8108247,7294647,388566,55490,381114,42944,832485,0,1371400385
dbcolproj_83690_8_64,col,0,12330606,10828364,88115,26851,130483,67646,302932,0,1371400385
dbcolproj_83690_8_64,dtu,0,7448452,4528444,86920,38493,122087,60926,353025,669568,1371400385
dbcolproj_83690_1_64,cpu,0,2156139,1422763,89585,8067,90642,5326,154113,0,171348942
dbcolproj_83690_1_64,col,0,636308,1506453,10796,3737,10552,4997,40683,0,171348942
dbcolproj_83690_1_64,dtu,0,533126,209271,10498,5149,10517,5276,46447,83719,171348942
dbcolproj_83690_2_64,cpu,0,4411533,2266455,273608,26586,179502,10925,486289,0,343055996
dbcolproj_83690_2_64,col,0,1087417,2427043,21635,2731,21257,10268,43491,0,343055996
dbcolproj_83690_2_64,dtu,0,1044725,425288,21008,8724,21273,10629,80334,167424,343055996
