benchmark,type,memtraffic,L1Refill,L1WB,LLCRefill,LLCWB
dbproj,dtu,0.7872762933998783,0.117300267856786,0.9653487147559112,0.0940869814014096,0.6228128911597547
dbproj,cpu,1.0,1.0,1.0,1.0,1.0
im2col,dtu,4.078261391500418,0.3205153194191361,0.0536005685344892,0.3691190660784313,0.0479873368740607
im2col,cpu,1.0,1.0,1.0,1.0,1.0
img_augmentation,dtu,2.713895766523366,0.1999749430466193,0.4447048210091464,0.4580283967994876,0.4837524599168057
img_augmentation,cpu,1.0,1.0,1.0,1.0,1.0
unfold,dtu,1.2955122100841776,0.2550226861603933,0.4911097094856664,0.2491421390125149,0.553737920195472
unfold,cpu,1.0,1.0,1.0,1.0,1.0
vol2col,dtu,1.7765194963494988,0.11165572130758587,0.015589194426069914,0.18238930594271582,0.026056147345316125
vol2col,cpu,1.0,1.0,1.0,1.0,1.0
