benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_1_128,cpu,0,2212627,1429555,90502,5715,90863,5466,96214,0,171877880
dbcolproj_83690_1_128,col,0,635348,1506453,10798,3214,10546,4989,14016,0,171877880
dbcolproj_83690_1_128,dtu,0,293985,209271,10484,5634,10532,5281,10884,83728,171877880
dbcolproj_83690_2_128,cpu,0,4898741,2266483,324531,20265,181567,10853,344790,0,342387978
dbcolproj_83690_2_128,col,0,1115955,2441328,22342,3752,21538,10435,26091,0,342387978
dbcolproj_83690_2_128,dtu,0,585463,418496,20972,9415,21040,10535,19920,167424,342387978
dbcolproj_83690_3_128,cpu,0,6817187,3103355,446097,26527,269441,16306,472618,0,514432714
dbcolproj_83690_3_128,col,0,1850897,3354425,32878,6835,32108,15646,39713,0,514432714
dbcolproj_83690_3_128,dtu,0,900092,634513,31566,13938,31786,15860,29810,251104,514432714
dbcolproj_83690_4_128,cpu,0,8380582,3956561,525800,35751,359123,21870,561551,0,685980259
dbcolproj_83690_4_128,col,0,2856651,4275015,42908,9106,42840,20869,52014,0,685980259
dbcolproj_83690_4_128,dtu,0,1324980,843738,42629,18748,42508,21063,40068,340975,685980259
dbcolproj_83690_5_128,cpu,0,9572116,4783947,571684,40678,448286,27199,612353,0,857049531
dbcolproj_83690_5_128,col,0,3946688,5195667,53134,12590,53734,26164,65718,0,857049531
dbcolproj_83690_5_128,dtu,0,1628341,1046171,53013,23358,52848,26202,49739,426170,857049531
dbcolproj_83690_6_128,cpu,0,10689466,5622299,626267,45882,540365,32645,672149,0,1027961808
dbcolproj_83690_6_128,col,0,5183698,6122987,63781,17023,64760,31512,80805,0,1027961808
dbcolproj_83690_6_128,dtu,0,1965498,1262188,63734,27856,63633,31516,59651,511008,1027961808
dbcolproj_83690_7_128,cpu,0,11674803,6464539,676509,51010,627140,38114,727515,0,1199226824
dbcolproj_83690_7_128,col,0,6642298,7043577,74202,21175,75493,36824,95377,0,1199226824
dbcolproj_83690_7_128,dtu,0,2058859,1464621,73386,32655,73662,36621,69423,585872,1199226824
dbcolproj_83690_8_128,cpu,0,12814776,7308231,714315,56376,717959,43629,770691,0,1370690087
dbcolproj_83690_8_128,col,0,8432689,7964167,84667,25510,86402,42022,110177,0,1370690087
dbcolproj_83690_8_128,dtu,0,2351168,1673846,83874,37250,84123,41910,79277,669567,1370690087
