benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_720_1080_3_2,cpu,41710691,92591175,187794307,1785090,662151,1832766,642855,2447242,16,46556225.682564
im2col_720_1080_3_2,dtu,0,55441052,75904600,636324,55461,659293,61177,109533,9316032,46556225.682564
im2col_720_1080_3_3,cpu,206949620,322873442,510469616,4033233,1425899,5463147,2161663,5459134,0,104510508.703681
im2col_720_1080_3_3,dtu,0,118717419,169615646,1365602,59131,1465997,69991,118387,20901504,104510508.703681
im2col_720_1080_3_4,cpu,366454907,567172629,904671111,7114177,2468050,9602253,3790206,9582228,16,185368372.285505
im2col_720_1080_3_4,dtu,0,204803091,300364922,2390418,62727,2541225,96735,133145,37120000,185368372.285505
im2col_720_1080_3_5,cpu,571635653,882604620,1410731059,11106756,3844370,15259202,5930928,14951129,0,288966436.730617
im2col_720_1080_3_5,dtu,0,315269227,468493036,3748647,112004,3903595,160492,242543,57889728,288966436.730617
im2col_512_512_3_2,cpu,14216559,32943364,63242326,536756,240464,674572,241984,777227,0,15660739.682568
im2col_512_512_3_2,dtu,0,20940386,25546533,214715,22314,269258,34378,40677,3141648,15660739.682568
im2col_512_512_3_3,cpu,31997305,73133186,141509892,1167220,482772,1437395,459841,1649994,16,35097764.368288
im2col_512_512_3_3,dtu,0,44365117,57004400,469379,23545,551485,23820,43435,7191824,35097764.368288
im2col_512_512_3_4,cpu,56776834,125661535,250406040,2025702,823077,2544060,802700,2848779,32,62151040.594557
im2col_512_512_3_4,dtu,0,84514130,100801465,801560,25368,972924,22925,48693,12451744,62151040.594557
im2col_512_512_3_5,cpu,190731330,295419340,472537662,3259787,1300993,5173462,1981027,4560782,0,96728317.448405
im2col_512_512_3_5,dtu,0,104980153,156942379,1260000,41285,1295087,52005,86447,19437408,96728317.448405
