benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_720_1080_3_2,cpu,40946212,92639114,187775810,1860494,646157,1835351,643843,7029745,0,46556225.682564
im2col_720_1080_3_2,dtu,0,62896027,75918552,640075,55041,659103,58475,497943,9319376,46556225.682564
im2col_720_1080_3_3,cpu,214313408,328735129,510743219,4216172,1420552,5431175,2161991,15580590,0,104510508.703681
im2col_720_1080_3_3,dtu,0,134157115,169644037,1372936,57403,1469646,73816,524321,20925280,104510508.703681
im2col_720_1080_3_4,cpu,379984334,579758679,904662088,7434039,2471905,9575607,3779654,27209281,0,185368372.285505
im2col_720_1080_3_4,dtu,0,235731870,300437699,2403688,60642,2542010,97183,565528,37172768,185368372.285505
im2col_720_1080_3_5,cpu,592366865,905030616,1410769470,11624293,3863021,15214851,5925248,42528462,16,288966436.730617
im2col_720_1080_3_5,dtu,0,368291097,468593599,3772162,111535,3905902,161004,1039633,57996832,288966436.730617
im2col_512_512_3_2,cpu,13686283,31055922,63242326,588061,226828,647659,214477,2402695,0,15660739.682568
im2col_512_512_3_2,dtu,0,22165091,25553325,214477,21008,251610,17765,186634,3134384,15660739.682568
im2col_512_512_3_3,cpu,30581754,69656761,141483606,1299502,471525,1433042,459517,5071704,0,35097764.368288
im2col_512_512_3_3,dtu,0,49341364,57021213,489503,22197,547213,19069,199688,7477984,35097764.368288
im2col_512_512_3_4,cpu,125435560,194584336,303552752,2352935,838843,3348827,1275400,9063681,0,62151040.594557
im2col_512_512_3_4,dtu,0,91310045,100826052,807759,24450,999423,49126,223854,12472064,62151040.594557
im2col_512_512_3_5,cpu,195490423,302504845,473088196,3760534,1302734,5140094,1981719,14182407,0,96728317.448405
im2col_512_512_3_5,dtu,0,127749216,156967609,1333770,41163,1297470,54239,378510,20553040,96728317.448405
im2col_720_1080_3_2,cpu,40915594,92606167,187775862,1860060,646993,1833799,643877,7036008,0,46556225.682564
im2col_720_1080_3_2,dtu,0,62844067,75918080,640037,55256,657655,58507,499603,9319632,46556225.682564
im2col_720_1080_3_3,cpu,214558800,329116355,510421169,4218611,1420302,5433833,2160160,15581036,16,104510508.703681
im2col_720_1080_3_3,dtu,0,134124718,169636108,1372285,57289,1471762,73620,522845,20924048,104510508.703681
im2col_720_1080_3_4,cpu,379902061,579629604,904672443,7450090,2471068,9557367,3789350,27218637,0,185368372.285505
im2col_720_1080_3_4,dtu,0,235683329,300420233,2402453,60462,2541432,96983,562663,37175680,185368372.285505
im2col_720_1080_3_5,cpu,592284515,905118723,1410749101,11623792,3864910,15218098,5923009,42543074,16,288966436.730617
im2col_720_1080_3_5,dtu,0,368152281,468582761,3771059,111659,3905804,161135,1039760,57993184,288966436.730617
im2col_512_512_3_2,cpu,13681130,31050995,63242326,587608,226877,646961,214386,2402628,0,15660739.682568
im2col_512_512_3_2,dtu,0,22261621,25553325,214526,21152,251344,17731,187832,3134400,15660739.682568
im2col_512_512_3_3,cpu,30588216,69653435,141483606,1299311,471559,1433406,459589,5071788,0,35097764.368288
im2col_512_512_3_3,dtu,0,49336182,57012793,488940,22348,546902,18997,200841,7470016,35097764.368288
im2col_512_512_3_4,cpu,125458450,194791875,303569568,2358152,837915,3336425,1282848,9061473,0,62151040.594557
im2col_512_512_3_4,dtu,0,90937588,100815238,805593,23386,972863,21652,213681,12463744,62151040.594557
im2col_512_512_3_5,cpu,195425420,302461448,473076742,3753205,1302548,5174122,1984841,14173578,16,96728317.448405
im2col_512_512_3_5,dtu,0,127753385,156982729,1334092,41315,1297460,54195,380487,20546032,96728317.448405
im2col_720_1080_3_2,cpu,40960438,92651907,187785008,1861079,647154,1834555,644443,7038313,0,46556225.682564
im2col_720_1080_3_2,dtu,0,62823811,75906994,639045,55279,657879,58687,498778,9319888,46556225.682564
im2col_720_1080_3_3,cpu,214266615,328913370,510404188,4207841,1420164,5453715,2158433,15569154,0,104510508.703681
im2col_720_1080_3_3,dtu,0,134175927,169650419,1373124,57405,1474156,74658,524503,20925632,104510508.703681
im2col_720_1080_3_4,cpu,379722676,579541130,904663546,7438083,2472368,9585042,3783072,27217029,0,185368372.285505
im2col_720_1080_3_4,dtu,0,235650068,300427023,2402874,60537,2541480,96954,563901,37172160,185368372.285505
im2col_720_1080_3_5,cpu,591746974,904490170,1410743781,11641329,3864696,15141259,5914932,42558899,0,288966436.730617
im2col_720_1080_3_5,dtu,0,368186049,468583392,3771094,111727,3905507,160920,1040374,57992448,288966436.730617
im2col_512_512_3_2,cpu,13697180,31054355,63242326,587246,226896,647135,214406,2402434,0,15660739.682568
im2col_512_512_3_2,dtu,0,22261314,25553325,214451,21184,251059,17708,188031,3134272,15660739.682568
im2col_512_512_3_3,cpu,30598773,69678040,141492413,1299780,471574,1432464,459529,5072374,0,35097764.368288
im2col_512_512_3_3,dtu,0,49339290,57013178,489353,22492,546313,18938,201860,7478992,35097764.368288
im2col_512_512_3_4,cpu,125601941,194968249,303569065,2355421,839754,3366020,1291090,9073453,16,62151040.594557
im2col_512_512_3_4,dtu,0,90893188,100815692,805536,23694,972574,21754,216056,12464256,62151040.594557
im2col_512_512_3_5,cpu,195763173,302838454,473075848,3756397,1305588,5176030,1989811,14201102,0,96728317.448405
im2col_512_512_3_5,dtu,0,127711847,156976030,1334149,41245,1297431,54251,380028,20545312,96728317.448405
im2col_720_1080_3_2,cpu,40922088,92636353,187775814,1860594,647061,1835390,644015,7037084,0,46556225.682564
im2col_720_1080_3_2,dtu,0,62773024,75906994,639093,55105,658864,58567,497481,9319088,46556225.682564
im2col_720_1080_3_3,cpu,214237055,328710034,510415263,4216667,1420724,5429744,2161486,15582460,0,104510508.703681
im2col_720_1080_3_3,dtu,0,134131242,169642772,1372497,57542,1469518,73710,525011,20925008,104510508.703681
im2col_720_1080_3_4,cpu,379971778,579787413,904682125,7437351,2470587,9595145,3788717,27202049,0,185368372.285505
im2col_720_1080_3_4,dtu,0,235666367,300419588,2402283,60955,2541910,97018,566440,37175728,185368372.285505
im2col_720_1080_3_5,cpu,592289499,905055596,1410746824,11618614,3864523,15226924,5932245,42534798,0,288966436.730617
im2col_720_1080_3_5,dtu,0,368164950,468583196,3771239,111253,3906156,161169,1036501,57996080,288966436.730617
