benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
im2col_720_1080_3_2,cpu,92845269,150477412,232576666,3756452,1881453,46556225.682564
im2col_720_1080_3_2,dtu,0,69162148,80746619,947024,656004,46556225.682564
im2col_720_1080_3_3,cpu,208463119,329912134,515310827,8027031,4163892,104510508.703681
im2col_720_1080_3_3,dtu,0,141367520,174404543,1802594,1406891,104510508.703681
im2col_720_1080_3_4,cpu,370992331,570505826,904728087,13694315,7303304,185368372.285505
im2col_720_1080_3_4,dtu,0,235201916,300453232,2621959,2404031,185368372.285505
im2col_720_1080_3_5,cpu,580881160,894563812,1410798325,21917612,11416611,288966436.730617
im2col_720_1080_3_5,dtu,0,367578063,468592805,4077804,3770122,288966436.730617
im2col_512_512_3_2,cpu,13377860,31514688,63243868,917185,587797,15660739.682568
im2col_512_512_3_2,dtu,0,22091959,25556184,269282,214910,15660739.682568
im2col_512_512_3_3,cpu,70162620,109066815,171521750,2662617,1371427,35097764.368288
im2col_512_512_3_3,dtu,0,49607157,57011181,565692,488202,35097764.368288
im2col_512_512_3_4,cpu,123838059,193026803,303622543,4726820,2349890,62151040.594557
im2col_512_512_3_4,dtu,0,91398144,100808246,1033672,806262,62151040.594557
im2col_512_512_3_5,cpu,192999739,300110423,472894263,7317098,3747529,96728317.448405
im2col_512_512_3_5,dtu,0,127653477,156976270,1354024,1332301,96728317.448405
im2col_720_1080_3_2,cpu,93023232,144138669,227415152,3487523,1868027,46556225.682564
im2col_720_1080_3_2,dtu,0,62761506,75908508,718498,638291,46556225.682564
im2col_720_1080_3_3,cpu,209064746,323666977,510511748,7792603,4134087,104510508.703681
im2col_720_1080_3_3,dtu,0,134044213,169643200,1547482,1372200,104510508.703681
im2col_720_1080_3_4,cpu,370068801,569556141,904691784,13701012,7299805,185368372.285505
im2col_720_1080_3_4,dtu,0,236117381,300926679,2628075,2408801,185368372.285505
im2col_720_1080_3_5,cpu,581014116,894323887,1410763274,21959055,11421061,288966436.730617
im2col_720_1080_3_5,dtu,0,367892333,468608267,4065951,3770925,288966436.730617
im2col_512_512_3_2,cpu,13370829,31506885,63243840,917321,587722,15660739.682568
im2col_512_512_3_2,dtu,0,22064786,25546522,268828,214278,15660739.682568
im2col_512_512_3_3,cpu,65515076,104194072,167820975,2570011,1358369,35097764.368288
im2col_512_512_3_3,dtu,0,49625430,57019646,565248,488533,35097764.368288
im2col_512_512_3_4,cpu,123989017,193087567,303804472,4737576,2349024,62151040.594557
im2col_512_512_3_4,dtu,0,91450775,100815588,1033384,806304,62151040.594557
im2col_512_512_3_5,cpu,193068608,300096341,472873383,7324359,3747200,96728317.448405
im2col_512_512_3_5,dtu,0,127697922,156972985,1353854,1332662,96728317.448405
im2col_720_1080_3_2,cpu,93329994,144426799,227436298,3513399,1869116,46556225.682564
im2col_720_1080_3_2,dtu,0,62711097,75902203,717110,637695,46556225.682564
im2col_720_1080_3_3,cpu,209219687,323590818,510511541,7774864,4133070,104510508.703681
im2col_720_1080_3_3,dtu,0,134099028,169653643,1545045,1372973,104510508.703681
im2col_720_1080_3_4,cpu,370957638,570352834,904714128,13719216,7300852,185368372.285505
im2col_720_1080_3_4,dtu,0,235304980,300438594,2622217,2403545,185368372.285505
im2col_720_1080_3_5,cpu,580820145,894245346,1410798047,21938788,11405658,288966436.730617
im2col_720_1080_3_5,dtu,0,367825325,468581646,4065008,3769905,288966436.730617
im2col_512_512_3_2,cpu,13384267,31511767,63237541,917906,587450,15660739.682568
im2col_512_512_3_2,dtu,0,22093523,25555014,269541,214883,15660739.682568
im2col_512_512_3_3,cpu,30070224,68730988,141483595,1892880,1312582,35097764.368288
im2col_512_512_3_3,dtu,0,49696886,57024112,566141,489484,35097764.368288
im2col_512_512_3_4,cpu,123970670,193203002,303449850,4745719,2354854,62151040.594557
im2col_512_512_3_4,dtu,0,91400040,100815124,1033236,806581,62151040.594557
im2col_512_512_3_5,cpu,193452417,300608539,472896308,7341426,3747225,96728317.448405
im2col_512_512_3_5,dtu,0,127667505,156967454,1353943,1332503,96728317.448405
im2col_720_1080_3_2,cpu,92837690,143787063,227436268,3484602,1868344,46556225.682564
im2col_720_1080_3_2,dtu,0,62697317,75906983,717471,637956,46556225.682564
im2col_720_1080_3_3,cpu,209123657,323714480,510515589,7782082,4137442,104510508.703681
im2col_720_1080_3_3,dtu,0,134047074,169642750,1544569,1372260,104510508.703681
im2col_720_1080_3_4,cpu,370581450,570072501,904683433,13728878,7302836,185368372.285505
im2col_720_1080_3_4,dtu,0,235234827,300420624,2621542,2402383,185368372.285505
im2col_720_1080_3_5,cpu,580634481,894039434,1410780944,21897584,11407772,288966436.730617
im2col_720_1080_3_5,dtu,0,367493046,468581428,4065268,3769566,288966436.730617
im2col_512_512_3_2,cpu,13390265,31546482,63250426,917636,587821,15660739.682568
im2col_512_512_3_2,dtu,0,22096280,25554842,269947,214338,15660739.682568
im2col_512_512_3_3,cpu,30064124,68760073,141495082,1892929,1313715,35097764.368288
im2col_512_512_3_3,dtu,0,49630667,57019595,565835,488048,35097764.368288
im2col_512_512_3_4,cpu,123884588,193117148,303459527,4741952,2350507,62151040.594557
im2col_512_512_3_4,dtu,0,91487178,100825373,1033834,807338,62151040.594557
im2col_512_512_3_5,cpu,193414517,300604049,472898489,7328949,3751170,96728317.448405
im2col_512_512_3_5,dtu,0,127610265,156965025,1353510,1332205,96728317.448405
im2col_720_1080_3_2,cpu,92792701,143690503,227429148,3474376,1867519,46556225.682564
im2col_720_1080_3_2,dtu,0,62603458,75902163,716883,637732,46556225.682564
im2col_720_1080_3_3,cpu,209515777,323989437,510552300,7808844,4136246,104510508.703681
im2col_720_1080_3_3,dtu,0,134034554,169653637,1544434,1372938,104510508.703681
im2col_720_1080_3_4,cpu,370231521,569661861,904690790,13699055,7298481,185368372.285505
im2col_720_1080_3_4,dtu,0,235243914,300429709,2621330,2403264,185368372.285505
