benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_720_1080_3_2,cpu,41524830,93553411,187784083,1827863,660089,1831925,642183,7108578,0,46556225.682564
im2col_720_1080_3_2,dtu,0,63884157,75908520,637411,56657,657005,58748,508282,9318336,46556225.682564
im2col_720_1080_3_3,cpu,220977270,338125550,510775724,4127871,1424230,5529149,2187471,15521711,16,104510508.703681
im2col_720_1080_3_3,dtu,0,146370129,169666038,1368854,59396,1474738,73526,537469,20904720,104510508.703681
im2col_720_1080_3_4,cpu,391350082,592099362,904722088,7286059,2466132,9677145,3806101,27015117,0,185368372.285505
im2col_720_1080_3_4,dtu,0,241019638,300435997,2391005,63541,2525449,80577,580178,37106352,185368372.285505
im2col_720_1080_3_5,cpu,609986955,923840540,1410797834,11378526,3847884,15371858,5984678,42161599,16,288966436.730617
im2col_720_1080_3_5,dtu,0,373673996,468590930,3751873,112003,3898661,150985,1030174,57883568,288966436.730617
im2col_512_512_3_2,cpu,13800507,31336883,63235534,540720,240138,647259,214433,2461827,0,15660739.682568
im2col_512_512_3_2,dtu,0,23555189,25553325,214671,22966,258033,23608,202456,3134992,15660739.682568
im2col_512_512_3_3,cpu,30834684,72378170,141501567,1164880,482371,1432743,459541,5023864,16,35097764.368288
im2col_512_512_3_3,dtu,0,53643819,57032891,471360,25256,593352,70707,224522,7182048,35097764.368288
im2col_512_512_3_4,cpu,129353808,199068564,303552922,2095605,842238,3387424,1290117,8833510,0,62151040.594557
im2col_512_512_3_4,dtu,0,93552573,100815137,802438,26211,997859,47671,233937,12451024,62151040.594557
im2col_512_512_3_5,cpu,201468545,307247054,473092444,3265973,1302563,5218992,1996738,13686477,16,96728317.448405
im2col_512_512_3_5,dtu,0,125255613,156968110,1259441,42201,1307841,66113,382724,19429200,96728317.448405
im2col_720_1080_3_2,cpu,41517479,93541593,187775434,1826971,661098,1833565,642562,7115757,0,46556225.682564
im2col_720_1080_3_2,dtu,0,64414617,75915241,637693,56130,658488,58865,504364,9317776,46556225.682564
im2col_720_1080_3_3,cpu,220708809,337620690,510437836,4131574,1423977,5504720,2172959,15523392,0,104510508.703681
im2col_720_1080_3_3,dtu,0,146349234,169666076,1368437,59489,1471611,73521,537796,20904864,104510508.703681
im2col_720_1080_3_4,cpu,390794087,591388627,904703442,7285626,2465936,9686336,3814564,27013115,16,185368372.285505
im2col_720_1080_3_4,dtu,0,241113810,300436030,2391168,63654,2525802,80558,581307,37105232,185368372.285505
im2col_720_1080_3_5,cpu,609241391,923042577,1410794515,11382282,3846126,15349753,5968953,42151292,0,288966436.730617
im2col_720_1080_3_5,dtu,0,373696984,468600785,3752847,112096,3899286,151185,1031804,57884992,288966436.730617
im2col_512_512_3_2,cpu,13785051,31460798,63242326,540791,240132,647621,214507,2461850,0,15660739.682568
im2col_512_512_3_2,dtu,0,22987971,25553325,214780,23209,251878,18778,204510,3135072,15660739.682568
im2col_512_512_3_3,cpu,30796645,72636274,141501542,1164458,482519,1432773,459667,5024613,0,35097764.368288
im2col_512_512_3_3,dtu,0,53166700,57018127,471064,25216,586434,63635,223757,7184432,35097764.368288
im2col_512_512_3_4,cpu,129178895,198935148,303562231,2092254,842567,3385934,1297199,8832790,16,62151040.594557
im2col_512_512_3_4,dtu,0,93154070,100815135,802724,26615,998337,48872,237474,12450592,62151040.594557
im2col_512_512_3_5,cpu,201903906,307798980,473074290,3268030,1303197,5225263,2000441,13693607,0,96728317.448405
im2col_512_512_3_5,dtu,0,125232292,156973497,1259530,42707,1307958,66013,386716,19431520,96728317.448405
im2col_720_1080_3_2,cpu,41528500,93517956,187773827,1826271,661025,1833375,642277,7114474,0,46556225.682564
im2col_720_1080_3_2,dtu,0,64386596,75909001,637622,56101,658377,58830,504076,9317664,46556225.682564
im2col_720_1080_3_3,cpu,220698058,337822010,510427934,4134832,1426380,5508270,2175102,15545873,0,104510508.703681
im2col_720_1080_3_3,dtu,0,146363923,169682825,1369407,59576,1472663,73758,539430,20905392,104510508.703681
im2col_720_1080_3_4,cpu,391088347,591754805,904708364,7285698,2466484,9675101,3806091,27017572,0,185368372.285505
im2col_720_1080_3_4,dtu,0,241025000,300427465,2390271,63528,2525420,80401,579398,37105584,185368372.285505
im2col_720_1080_3_5,cpu,609048835,922738834,1410784937,11376114,3846259,15356603,5970776,42146188,0,288966436.730617
im2col_720_1080_3_5,dtu,0,373744427,468618157,3753791,112149,3899281,151246,1033144,57885296,288966436.730617
im2col_512_512_3_2,cpu,13784965,31454766,63242326,540843,240196,647784,214535,2462415,16,15660739.682568
im2col_512_512_3_2,dtu,0,22750301,25553325,214139,22306,250622,17747,196685,3134304,15660739.682568
im2col_512_512_3_3,cpu,30794916,72597383,141490398,1163279,482491,1432452,459519,5023209,0,35097764.368288
im2col_512_512_3_3,dtu,0,53631496,57048064,471326,24214,546731,19372,216628,7174432,35097764.368288
im2col_512_512_3_4,cpu,129203296,199044621,303568065,2093900,843437,3392328,1296727,8841397,0,62151040.594557
im2col_512_512_3_4,dtu,0,93163459,100821928,802711,26103,998532,48988,233376,12450432,62151040.594557
im2col_512_512_3_5,cpu,201416706,307272428,473082295,3267726,1303211,5224129,2001007,13693413,0,96728317.448405
im2col_512_512_3_5,dtu,0,125254362,156965485,1258740,42073,1307975,66416,380893,19430784,96728317.448405
im2col_720_1080_3_2,cpu,41564815,93542994,187786832,1827312,661168,1833290,642306,7116658,0,46556225.682564
im2col_720_1080_3_2,dtu,0,64373489,75906994,637417,56171,658341,58693,504416,9317920,46556225.682564
im2col_720_1080_3_3,cpu,220304434,337126523,510419828,4127341,1424271,5502372,2173270,15521510,0,104510508.703681
im2col_720_1080_3_3,dtu,0,146279302,169657692,1367866,59115,1472278,73618,534222,20905024,104510508.703681
im2col_720_1080_3_4,cpu,391232603,591876698,904681164,7283823,2465612,9686089,3810162,27008721,0,185368372.285505
im2col_720_1080_3_4,dtu,0,241086448,300444484,2392013,63556,2525740,80734,581347,37105872,185368372.285505
im2col_720_1080_3_5,cpu,608986328,922785290,1410796764,11379229,3846749,15344693,5968603,42153219,64,288966436.730617
im2col_720_1080_3_5,dtu,0,373779747,468608728,3753276,112091,3899129,151455,1032360,57882320,288966436.730617
im2col_512_512_3_2,cpu,13802117,31485151,63243845,541098,240161,648163,214505,2462389,0,15660739.682568
im2col_512_512_3_2,dtu,0,22759137,25554927,214262,22281,251041,17754,196617,3134304,15660739.682568
im2col_512_512_3_3,cpu,30801194,72600616,141490398,1163541,482465,1432856,459433,5023266,0,35097764.368288
im2col_512_512_3_3,dtu,0,53529239,57019587,469427,23881,546753,19045,211858,7177888,35097764.368288
im2col_512_512_3_4,cpu,129076414,198864106,303579196,2093669,842269,3388273,1296456,8831823,0,62151040.594557
im2col_512_512_3_4,dtu,0,93154912,100822001,802772,26247,998558,48701,234558,12451056,62151040.594557
im2col_512_512_3_5,cpu,201831215,307687625,473073735,3267628,1302589,5226407,2000819,13688341,0,96728317.448405
im2col_512_512_3_5,dtu,0,125260120,156966463,1259004,42508,1307809,65927,384597,19431536,96728317.448405
im2col_720_1080_3_2,cpu,41530216,93597809,187791262,1827827,661211,1832316,642465,7117517,0,46556225.682564
im2col_720_1080_3_2,dtu,0,64375018,75906994,637472,56099,657097,58630,503858,9318368,46556225.682564
im2col_720_1080_3_3,cpu,220038214,336832072,510434489,4127823,1424169,5513226,2174878,15521176,0,104510508.703681
im2col_720_1080_3_3,dtu,0,146326100,169667226,1368659,59431,1474896,73869,537499,20905744,104510508.703681
im2col_720_1080_3_4,cpu,390872158,591578608,904679224,7285791,2465850,9670329,3799898,27012592,16,185368372.285505
im2col_720_1080_3_4,dtu,0,241119860,300445454,2391707,63453,2525526,80482,580194,37106064,185368372.285505
im2col_720_1080_3_5,cpu,609469890,923282938,1410803770,11380570,3846096,15369111,5978523,42149338,32,288966436.730617
im2col_720_1080_3_5,dtu,0,373700295,468589559,3752211,112106,3898792,150911,1031368,57883056,288966436.730617
