benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
im2col_720_1080_3_2,cpu,240628154,369413176,227755307,4655916,1879888,46556225.682564
im2col_720_1080_3_2,dtu,0,130980208,76025091,793995,643659,46556225.682564
im2col_720_1080_3_3,cpu,537872229,827824357,510947969,10304518,4164770,104510508.703681
im2col_720_1080_3_3,dtu,0,290115830,169910430,1817947,1386564,104510508.703681
im2col_720_1080_3_4,cpu,956873628,1469743044,906119941,18481550,7354901,185368372.285505
im2col_720_1080_3_4,dtu,0,514587181,300876008,3212758,2436477,185368372.285505
im2col_720_1080_3_5,cpu,1488689185,2297570633,1413028615,29179281,11494370,288966436.730617
im2col_720_1080_3_5,dtu,0,800868099,469306129,4877661,3818152,288966436.730617
im2col_512_512_3_2,cpu,50719304,94365066,63355123,892042,595180,15660739.682568
im2col_512_512_3_2,dtu,0,44096434,25586163,293294,216223,15660739.682568
im2col_512_512_3_3,cpu,180910225,277908480,171529050,3456876,1375149,35097764.368288
im2col_512_512_3_3,dtu,0,98476374,57094855,594579,500895,35097764.368288
im2col_512_512_3_4,cpu,321008939,494511427,304074779,6282305,2371654,62151040.594557
im2col_512_512_3_4,dtu,0,174318377,100952789,1216363,817518,62151040.594557
im2col_512_512_3_5,cpu,500205282,772528720,473623051,9858234,3782309,96728317.448405
im2col_512_512_3_5,dtu,0,272098570,157213855,1607744,1360176,96728317.448405
im2col_720_1080_3_2,cpu,239377469,368146809,227739091,4538851,1880882,46556225.682564
im2col_720_1080_3_2,dtu,0,131406289,76017377,791921,643773,46556225.682564
im2col_720_1080_3_3,cpu,540050548,829718862,511298428,10437838,4161068,104510508.703681
im2col_720_1080_3_3,dtu,0,291675311,169930364,1837483,1388522,104510508.703681
im2col_720_1080_3_4,cpu,954657145,1467553330,906129337,18362570,7353484,185368372.285505
im2col_720_1080_3_4,dtu,0,515505195,300901155,3253486,2437520,185368372.285505
im2col_720_1080_3_5,cpu,1489907599,2298547563,1413061809,29236026,11494899,288966436.730617
im2col_720_1080_3_5,dtu,0,800955801,469304734,4878622,3818815,288966436.730617
im2col_512_512_3_2,cpu,50686743,94292691,63339982,891423,594406,15660739.682568
im2col_512_512_3_2,dtu,0,44077519,25584568,293042,215829,15660739.682568
im2col_512_512_3_3,cpu,180438644,277514902,171266755,3455444,1374553,35097764.368288
