benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
img_augmentation_128_4,cpu,453695473,466430036,422950267,1786153,380442,0
img_augmentation_128_4,dtu,0,16783317,14711858,452898,184171,0
img_augmentation_128_8,cpu,903346450,929301193,842434624,3368215,796052,0
img_augmentation_128_8,dtu,0,32276810,28959561,813955,367448,0
img_augmentation_128_16,cpu,1820926158,1873020036,1691417079,7151734,1624100,0
img_augmentation_128_16,dtu,0,62206299,57015693,1578273,730959,0
img_augmentation_128_32,cpu,3685791352,3791161840,3383543084,14393396,3245012,0
img_augmentation_128_32,dtu,0,123316944,113786202,3105790,1460346,0
img_augmentation_128_64,cpu,7318596812,7528754219,6766970883,28706388,6451989,0
img_augmentation_128_64,dtu,0,244663609,227117884,6186827,2915285,0
img_augmentation_256_4,cpu,1825527457,1877199859,1690743723,7376701,1970896,0
img_augmentation_256_4,dtu,0,37996817,34010783,1081464,695232,0
img_augmentation_256_8,cpu,3738082875,3841524228,3382423100,14799736,3943453,0
img_augmentation_256_8,dtu,0,125292995,114002308,3097627,1458481,0
img_augmentation_256_16,cpu,7345760498,7552695732,6764763182,29758903,7865920,0
img_augmentation_256_16,dtu,0,248362126,227096228,6149484,2912461,0
img_augmentation_256_32,cpu,14440087108,14861672809,13530518793,59420903,15898129,0
img_augmentation_256_32,dtu,0,495872932,453682674,12275796,5827440,0
img_augmentation_256_64,cpu,29423915079,30269327706,27061988145,119140905,31761528,0
img_augmentation_256_64,dtu,0,1003825894,905766597,27162636,11632656,0
img_augmentation_128_4,cpu,454205113,466840747,420720868,1676064,370818,0
img_augmentation_128_4,dtu,0,10498356,9190349,302317,175837,0
img_augmentation_128_8,cpu,906324240,932397772,835648227,3172768,766914,0
img_augmentation_128_8,dtu,0,19236343,17472958,562719,348927,0
img_augmentation_128_16,cpu,1843633553,1895680155,1668068204,6224734,1536798,0
img_augmentation_128_16,dtu,0,36639648,33987901,1080503,694958,0
img_augmentation_128_32,cpu,3635009630,3733105498,3342750152,12075503,3084483,0
img_augmentation_128_32,dtu,0,71757234,67130270,2120864,1387517,0
img_augmentation_128_64,cpu,7354722077,7558053124,6738904241,26808308,6298281,0
img_augmentation_128_64,dtu,0,245389569,227035610,6412515,2920542,0
img_augmentation_256_4,cpu,1804335656,1833986644,1650404559,6002997,1872652,0
