benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
img_augmentation_128_4,cpu,388863769,394155419,411043759,278448,169425,1201489,206490,1633865,0,0
img_augmentation_128_4,dtu,0,11565021,9219790,175670,92636,201552,98506,830575,1379088,0
img_augmentation_128_8,cpu,796915968,808058590,822061602,668025,360104,2371111,411975,3548857,16,0
img_augmentation_128_8,dtu,0,20928352,17514978,355024,182765,376039,185194,1645074,2752864,0
img_augmentation_128_16,cpu,1610048824,1638006012,1647498953,1455820,704725,4842761,873772,7093621,0,0
img_augmentation_128_16,dtu,0,39796996,34027632,707704,351701,722353,357322,3177233,5505424,0
img_augmentation_128_32,cpu,3349089563,3451794893,3345591659,3461005,1420494,10566488,2138208,14824957,16,0
img_augmentation_128_32,dtu,0,128482426,113714326,1434324,714423,2188801,1148630,6461547,11010608,0
img_augmentation_128_64,cpu,6549644739,6759509009,6724062466,6822498,2840037,22354720,4892989,29542775,32,0
img_augmentation_128_64,dtu,0,255676394,227079195,2870489,1422816,4316079,2281731,12876675,22021344,0
img_augmentation_256_4,cpu,1614359259,1642057201,1646797208,1583670,705539,5314866,878385,7227973,16,0
img_augmentation_256_4,dtu,0,40747198,34012399,706793,350820,722161,357173,3169264,5505440,0
img_augmentation_256_8,cpu,3272955301,3375384491,3344679866,4070465,1423108,11333711,2117504,15454786,8416,0
img_augmentation_256_8,dtu,0,129178214,113722811,1436811,714460,2146598,1119180,6464274,11011616,0
img_augmentation_256_16,cpu,6576924571,6786294109,6722601836,8084519,2845835,23714152,4723168,30848671,40320,0
img_augmentation_256_16,dtu,0,258207969,227071709,2879212,1430426,4283908,2250925,12945365,22035936,0
img_augmentation_256_32,cpu,13284174128,13714393974,13527804006,16166422,5870961,50578852,11432543,63127466,106096,0
img_augmentation_256_32,dtu,0,514822733,453775589,5736217,2838322,8499162,4444668,25690180,44041808,0
img_augmentation_256_64,cpu,27138147627,28014005336,27057088499,26722641,11708291,101370617,22706808,120377249,187392,0
img_augmentation_256_64,dtu,0,1043627751,907545856,11463673,5670485,17968502,9567162,51322122,88086640,0
img_augmentation_128_4,cpu,416540814,421794972,411075693,277583,179993,1213675,206933,1717528,0,0
img_augmentation_128_4,dtu,0,11622756,9218059,176947,92834,201500,98543,833408,1379120,0
img_augmentation_128_8,cpu,806910104,818054616,822073003,662621,359573,2397883,412993,3539188,0,0
img_augmentation_128_8,dtu,0,20860584,17480288,354663,182549,375507,184792,1642983,2752896,0
img_augmentation_128_16,cpu,1612019918,1639709409,1647162440,1456413,704916,4796626,871340,7095731,16,0
img_augmentation_128_16,dtu,0,39737536,34019648,707095,351404,722067,357270,3174250,5505360,0
img_augmentation_128_32,cpu,3255976828,3358688071,3345311161,3452355,1419767,10544700,2141111,14810481,16,0
img_augmentation_128_32,dtu,0,77425579,67107167,1386314,695319,1416503,702625,6260698,11010432,0
img_augmentation_128_64,cpu,6570583452,6780555669,6737505026,6844436,2845868,22774217,5100416,29611371,16,0
img_augmentation_128_64,dtu,0,256344944,227079981,2868031,1422278,4326043,2284383,12869936,22021104,0
img_augmentation_256_4,cpu,1666784159,1694438533,1646900078,1587691,705821,5333195,877670,7234245,48,0
img_augmentation_256_4,dtu,0,40812992,34035041,706887,351379,722749,357549,3173838,5505344,0
img_augmentation_256_8,cpu,3307927012,3410851366,3344725054,4070332,1423162,11237243,2117471,15455129,7872,0
img_augmentation_256_8,dtu,0,78633821,67158335,1386838,696555,1417981,703262,6271140,11010368,0
img_augmentation_256_16,cpu,6598825680,6807973101,6735979575,8110142,2851634,24145187,4949082,30920668,40624,0
img_augmentation_256_16,dtu,0,258241118,227108499,2868795,1422548,4284779,2244669,12872864,22020912,0
