benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
img_augmentation_128_4,cpu,727026513,759271337,424705302,2415241,381577,0
img_augmentation_128_4,dtu,0,32065518,14742637,611072,182497,0
img_augmentation_128_8,cpu,1429244229,1492362862,843397747,4415641,778941,0
img_augmentation_128_8,dtu,0,62224566,29115551,1161101,364288,0
img_augmentation_128_16,cpu,2817694446,2947128422,1693081554,9491811,1586107,0
img_augmentation_128_16,dtu,0,120906323,57117922,2243992,727023,0
img_augmentation_128_32,cpu,5819702312,6079025260,3387149243,19048799,3181968,0
img_augmentation_128_32,dtu,0,240764698,113955403,4469944,1454046,0
img_augmentation_128_64,cpu,11161866561,11680802039,6773532378,37883466,6348899,0
img_augmentation_128_64,dtu,0,477269463,227477857,8695358,2907466,0
img_augmentation_256_4,cpu,2943837604,3062905019,1692591101,9087455,1928092,0
img_augmentation_256_4,dtu,0,68356482,34054213,1094386,698005,0
img_augmentation_256_8,cpu,5883556045,6120767089,3386041507,18185735,3868562,0
img_augmentation_256_8,dtu,0,240422741,114173387,4435799,1452927,0
img_augmentation_256_16,cpu,11757141187,12230626810,6772178993,36705308,7729256,0
img_augmentation_256_16,dtu,0,476600659,227462843,8672892,2904921,0
img_augmentation_256_32,cpu,22004132096,23044388205,13543494218,75669356,15619291,0
img_augmentation_256_32,dtu,0,954790853,454471101,17537465,5812756,0
img_augmentation_256_64,cpu,47622119161,49700644817,27093092353,154356035,31240161,0
img_augmentation_256_64,dtu,0,1993087154,907342987,42589051,11619263,0
img_augmentation_128_4,cpu,714894816,744474926,421150454,2150709,362442,0
img_augmentation_128_4,dtu,0,18674737,9198312,310859,175467,0
img_augmentation_128_8,cpu,1389663601,1449474806,836493431,3980745,760678,0
img_augmentation_128_8,dtu,0,35298035,17492709,572371,349740,0
img_augmentation_128_16,cpu,2758425393,2877629153,1669638552,7603349,1529538,0
img_augmentation_128_16,dtu,0,68288430,34030058,1092509,697500,0
img_augmentation_128_32,cpu,5579387153,5818999345,3346066174,16063798,3074590,0
img_augmentation_128_32,dtu,0,137910560,67213287,2348591,1395313,0
img_augmentation_128_64,cpu,11538661815,12014579477,6745994491,34722582,6222798,0
img_augmentation_128_64,dtu,0,477453993,227418743,8673439,2921245,0
img_augmentation_256_4,cpu,2792396215,2873382871,1652056567,6911781,1853565,0
img_augmentation_256_4,dtu,0,70387199,34047924,1161817,698227,0
img_augmentation_256_8,cpu,5339309162,5578726473,3338189880,15563169,3745377,0
img_augmentation_256_8,dtu,0,137948897,67205981,2350277,1400411,0
img_augmentation_256_16,cpu,11572461642,12048293477,6744498681,34667948,7669728,0
img_augmentation_256_16,dtu,0,476075449,227439624,8557791,2920039,0
img_augmentation_256_32,cpu,23640261782,24588820260,13544238866,72960030,15465359,0
img_augmentation_256_32,dtu,0,952762255,454403878,17353055,5836405,0
img_augmentation_256_64,cpu,47545297465,49634159331,27092903397,155282180,31243606,0
img_augmentation_256_64,dtu,0,1999270277,907333360,42865997,11617427,0
img_augmentation_128_4,cpu,698198851,714827313,411552657,1621917,346028,0
img_augmentation_128_4,dtu,0,18664493,9184633,310357,175465,0
