benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
ecs,cpu,0,77880,57598,575,32,4.946750
ecs,dtu,0,56244,29638,687,387,9.296642
img_augmentation,cpu,22978880472,24065375769,13547275101,79549174,24815128,0
img_augmentation,dtu,0,1010098816,454521659,17977376,5823643,0
img_augmentation2,cpu,5435094357,5580551200,3291943161,13091820,2996811,0
img_augmentation2,dtu,0,147622631,67195803,2136636,1394549,0
nhwc_permutation_512x512_k2x2_8,cpu,64444619,505480403,327019487,3245243,2378447,31462729.242736
nhwc_permutation_512x512_k2x2_8,dtu,0,442169265,295440891,1296701,806859,31458765.550849
im2col_1024_1024_1,cpu,71593621,140605796,85139554,1444724,864574,20920559.034103
im2col_1024_1024_1,dtu,0,66411955,34730653,447250,332921,20920559.034103
im2col_256_256_3,cpu,52516101,186098169,111890968,1222771,471781,15356509.163350
im2col_256_256_3,dtu,0,134316319,74774833,668512,213660,15356509.163350
im2col_256_256_16,cpu,279795956,7884437918,4449436248,40575409,3110213,81885959.356648
im2col_256_256_16,dtu,0,7605859090,4251530122,37388846,1725559,81885959.356648
tensor_unfold_8x64x64x128,cpu,125773387,206405043,67511389,3152524,2914916,-545259520
tensor_unfold_8x64x64x128,dtu,0,81944364,37895961,1237830,796497,-545259520
batch2space_64x64_k2x2_8,cpu,1146647,7872859,5030445,51198,19112,491323.968897
batch2space_64x64_k2x2_8,dtu,0,6735837,4507892,19284,12361,491323.968897
tensor_slicing_512x64x64x8_2x4x2x64,cpu,1099403,1452779,275625,24481,19609,-2143289344
tensor_slicing_512x64x64x8_2x4x2x64,dtu,0,328462,160057,4783,2127,-2143289344
matmul_transpose_640_640,cpu,13968077,3469058593,2107585513,20235215,11058421,-929
matmul_transpose_640_640,dtu,0,3492714757,2105540131,19991251,11004189,-929
