benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47508096,101876761,95625621,4329519,2195491,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,56203417,52081583,2807012,1643899,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,55752135,56119384,1959865,842663,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32877212,57291072,47988320,2720415,1627648,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,35823572,26292188,1929102,1349853,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,26179081,28052461,847708,411821,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18467556,26009775,15350269,1486422,1319876,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20381893,8884513,1258210,1183930,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,9160864,9656293,282456,202188,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10766599,13817404,7988310,735745,658340,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,12024485,4676625,636681,592084,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,4134948,4924117,140248,97710,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5462762,6881921,4311502,365891,328106,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5936252,2574656,316598,294881,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,2068985,2558029,69597,46342,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47664861,96564379,95373957,4251220,2183543,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54747782,52012628,2726814,1626752,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,52973850,55952286,1714026,824408,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20645496,32713308,30042366,1883041,1579118,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,23992292,17279913,1484895,1315770,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,16442317,19100269,558631,395252,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18465612,24486723,15350740,1463470,1315794,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20123017,8884513,1260024,1184100,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,7404670,9642709,264164,197261,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10754590,13689678,7989856,732742,658466,167772160
