benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47179834,168102022,77386527,3944102,2149224,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,133686776,52135512,3310912,1638268,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,124108388,56064775,2540025,826967,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32614142,72733712,30105858,1972647,1586558,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,52598940,17326265,1553115,1322208,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,42655899,19145107,739319,398090,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26422830,46583117,15380053,1515577,1321021,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35455354,8910989,1308007,1189343,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,20677480,9675193,321683,199104,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33614774,43560073,8049803,735687,661042,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,38931063,4721709,657299,594111,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,10056122,4930417,133085,100464,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17189309,22519904,4332202,381406,329181,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,19928113,2591827,330008,295617,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,5422919,2564575,80081,46918,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47158439,171251811,77532644,3944077,2148681,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,133697188,52135819,3303241,1638204,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,124483956,56061987,2339273,826724,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,32590593,74150342,30113847,1927700,1595474,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,51641712,17332670,1476614,1322892,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,38481033,19138561,532005,397808,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,26366170,46372076,15381490,1489547,1321542,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,35137529,8917476,1268761,1189802,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,20478365,9670248,299041,198900,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,33546963,43710821,8041541,747191,660486,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,38653661,4721709,638468,594177,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,10524133,4936963,148355,98682,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,17204923,22864877,4337194,394925,330068,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,19796928,2601577,320322,295974,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,5320872,2564575,79607,47892,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,47253864,127311489,59570145,2791699,2135206,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,133819199,52135926,3304826,1638468,1577058304
