benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
tensor_unfold_1_32x64x64x128,cpu,192986842,422431250,349564683,7909064,2319595,9730570,4192743,26465809,0,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,233120952,223568602,3373337,1165279,5387636,2331697,11646829,16779584,2113929216
tensor_unfold_2_32x64x64x128,cpu,272491952,502292670,382953372,13959787,2348222,17279659,4449701,32745547,0,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,227927537,223572418,3362080,1165385,5480691,2356445,11636443,16779472,2113929216
tensor_unfold_3_32x64x64x128,cpu,750902076,980614128,383781096,21636599,2352529,25583412,3984622,40456823,0,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,235950765,223572761,3369772,1165621,5366600,2317430,11646032,16779232,2113929216
tensor_unfold_4_32x64x64x128,cpu,1641407665,1871296020,383650327,21661070,2334208,30662503,4293808,40334743,0,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,522729262,224070610,3391581,1169066,5316642,2233003,11695399,16779232,2113929216
tensor_unfold_1_8x64x64x128,cpu,53538155,88507245,75252517,1632803,539223,2042292,644313,5946582,0,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,55584132,55750685,827483,283254,1223830,529107,2831346,4194560,-545259520
tensor_unfold_2_8x64x64x128,cpu,44264025,92237879,77501538,3370443,545519,3719278,784491,7734596,0,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,53975872,55743075,824728,283376,1237166,533516,2829568,4194688,-545259520
tensor_unfold_3_8x64x64x128,cpu,179359934,227312523,77729237,5324030,545878,5920480,791397,9691064,0,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,55294330,55742010,826666,283418,1221991,527144,2831841,4194496,-545259520
tensor_unfold_4_8x64x64x128,cpu,366764669,414839786,77624905,5357458,546473,6720264,797027,9729237,0,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,124845221,55859623,833618,284025,1182576,491895,2843647,4194592,-545259520
tensor_unfold_1_32x64x64x128,cpu,193433056,423276220,349572557,7905645,2320624,9848528,4209597,26470629,0,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,233061575,223542234,3364229,1164835,5448147,2334173,11634132,16779648,2113929216
tensor_unfold_2_32x64x64x128,cpu,272237618,501887536,382946241,13908847,2352764,17283392,4454142,32730942,0,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,228053726,223573522,3370449,1165215,5404872,2345329,11643478,16779056,2113929216
tensor_unfold_3_32x64x64x128,cpu,753540009,983380688,383802337,21639715,2352629,25548100,3983757,40460739,0,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,235854581,223583175,3363953,1164997,5439741,2325472,11635211,16779504,2113929216
tensor_unfold_4_32x64x64x128,cpu,1624093117,1853637904,383613900,21686515,2342209,30662635,4294235,40424179,0,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,524617229,224096300,3398280,1169378,5321719,2234122,11700543,16844336,2113929216
tensor_unfold_1_8x64x64x128,cpu,53611929,101522177,85111569,1652536,545298,2263350,782975,6014920,0,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,55559210,55743070,826487,283227,1224981,529407,2830134,4194528,-545259520
tensor_unfold_2_8x64x64x128,cpu,44259016,92222699,77493060,3369591,545482,3722998,785453,7733448,0,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,53977752,55736589,825742,283028,1226675,530449,2827807,4194544,-545259520
tensor_unfold_3_8x64x64x128,cpu,179358708,227288729,77726918,5324142,546047,5916334,788082,9692511,0,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,55297310,55749602,826982,283204,1222855,527264,2830438,4194688,-545259520
tensor_unfold_4_8x64x64x128,cpu,366787362,414774182,77624206,5356060,546715,6729813,799267,9729781,16,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,124628585,55859139,830988,284180,1192983,493085,2842263,4194496,-545259520
tensor_unfold_1_32x64x64x128,cpu,193367321,423170765,349561763,7898516,2319694,9840345,4203268,26456061,0,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,234286162,223561803,3373794,1165385,5421926,2333481,11643515,16853616,2113929216
tensor_unfold_2_32x64x64x128,cpu,272381315,501991779,382983870,13909636,2353856,17286037,4454768,32740476,16,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,229414964,223560457,3369189,1165228,5485827,2354859,11637741,16852096,2113929216
tensor_unfold_3_32x64x64x128,cpu,753475789,983566665,383800990,21643260,2352135,25581849,3987954,40460333,0,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,260027159,223614759,3525285,1228922,5392062,2326824,12283330,17172912,2113929216
tensor_unfold_4_32x64x64x128,cpu,1625882756,1855178309,383621151,21699135,2342495,30539016,4280699,40439104,16,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,534376748,224081920,3540168,1232466,5348394,2242765,12325519,17189904,2113929216
tensor_unfold_1_8x64x64x128,cpu,53566577,101408750,85102310,1652124,545390,2263495,783720,6015254,0,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,55383647,55734911,826008,282878,1221885,526976,2826860,4194496,-545259520
tensor_unfold_2_8x64x64x128,cpu,44251816,92255342,77476780,3371306,545526,3712569,785720,7735506,0,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,54031490,55753556,827113,283398,1227986,531678,2832121,4194544,-545259520
tensor_unfold_3_8x64x64x128,cpu,179398902,227384706,77736533,5326385,545880,5909440,787784,9693417,0,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,55273435,55743885,826526,283208,1222031,527299,2830033,4194512,-545259520
tensor_unfold_4_8x64x64x128,cpu,366790341,414712907,77613963,5355354,546467,6721917,796142,9727100,0,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,124848896,55869438,834074,283922,1184620,492634,2843279,4194608,-545259520
tensor_unfold_1_32x64x64x128,cpu,193301365,422997041,349584321,7898303,2320173,9852635,4207952,26459688,0,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,258164318,223588996,3523371,1228297,5404298,2333759,12277125,17161808,2113929216
