benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_unfold_1_32x64x64x128,cpu,190727057,417100869,349567553,14087539,7879130,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,232282079,223739246,7779837,3361680,2113929216
tensor_unfold_2_32x64x64x128,cpu,269196646,495155678,382963090,21762425,13957447,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,225796781,223702276,7855052,3350945,2113929216
tensor_unfold_3_32x64x64x128,cpu,748604149,975176911,383793101,29699070,21617260,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,233443328,223708867,7776771,3350409,2113929216
tensor_unfold_4_32x64x64x128,cpu,1647331227,1873242076,383689636,35028373,21612847,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,520832840,224225064,7543165,3384125,2113929216
tensor_unfold_1_8x64x64x128,cpu,80016717,136643537,103336454,4070986,2858306,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,58736433,55919439,1941264,838783,-545259520
tensor_unfold_2_8x64x64x128,cpu,68283666,116583838,95588958,5446522,3486190,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,51212766,55731636,1621434,820328,-545259520
tensor_unfold_3_8x64x64x128,cpu,163118783,187754348,59907309,6117052,5275302,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,33237338,37803354,1070334,790390,-545259520
tensor_unfold_4_8x64x64x128,cpu,387877318,412487802,59886092,6930235,5284263,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,104702983,37927713,1077968,794407,-545259520
tensor_unfold_1_32x64x64x128,cpu,188222992,414640408,349557906,13792214,7531171,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,230828971,223700153,7794161,3360685,2113929216
tensor_unfold_2_32x64x64x128,cpu,270854129,497097535,382954408,21858933,14023330,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,225962929,223658269,7841745,3360036,2113929216
tensor_unfold_3_32x64x64x128,cpu,748602180,974972262,383802489,29557894,21624477,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,234013633,223672233,7761755,3359484,2113929216
tensor_unfold_4_32x64x64x128,cpu,1651304834,1877363996,383651816,34923098,21606649,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,521037797,224189473,7562464,3390840,2113929216
tensor_unfold_1_8x64x64x128,cpu,57416318,80616056,67300921,2700138,2665466,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,32490067,37804953,1056744,790885,-545259520
tensor_unfold_2_8x64x64x128,cpu,44777156,68083466,59693228,3841828,3377832,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,30680515,37796562,1056393,790414,-545259520
tensor_unfold_3_8x64x64x128,cpu,163028245,186329912,59906079,6077988,5276036,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,31862671,37803354,1056713,790705,-545259520
tensor_unfold_4_8x64x64x128,cpu,388973376,412292802,59863828,6890813,5283012,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,107309601,37944967,1063220,795540,-545259520
tensor_unfold_1_32x64x64x128,cpu,188066717,414029633,349553361,13797915,7528236,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,231003484,223687599,7802312,3360910,2113929216
tensor_unfold_2_32x64x64x128,cpu,270634987,496533050,382962348,21811935,14023396,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,225458664,223667022,7830541,3349207,2113929216
tensor_unfold_3_32x64x64x128,cpu,749009635,974927243,383813863,29595307,21615491,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,234238611,223678534,7792346,3362475,2113929216
tensor_unfold_4_32x64x64x128,cpu,1651637809,1877410397,383693727,34920101,21608232,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,520511913,224174129,7552872,3382276,2113929216
tensor_unfold_1_8x64x64x128,cpu,57507001,80758616,67326331,2702245,2666568,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,33390885,37810146,1057142,805664,-545259520
tensor_unfold_2_8x64x64x128,cpu,44836066,68149293,59702173,3841998,3379200,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,31856495,37805350,1056735,806003,-545259520
tensor_unfold_3_8x64x64x128,cpu,163019141,186327692,59910930,6077714,5276434,-545259520
