benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
tensor_unfold_1_32x32x32x32,cpu,11659416,26658466,22047387,474279,167258,593974,261347,1812343,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,18280205,14186481,216170,93903,339721,145113,900418,1071632,-136314880
tensor_unfold_2_32x32x32x32,cpu,28745582,41206057,24333484,1163787,156524,1588077,275662,2415972,0,-136314880
tensor_unfold_2_32x32x32x32,dtu,0,15314626,14125238,201514,85927,305529,133913,823396,1048688,-136314880
tensor_unfold_3_32x32x32x32,cpu,81640695,88291515,15461901,1146975,152278,1362730,135810,2365176,0,-136314880
tensor_unfold_3_32x32x32x32,dtu,0,9866875,9664704,196265,84771,199781,66375,808903,1048624,-136314880
tensor_unfold_4_32x32x32x32,cpu,93297795,99931541,15492475,1147927,152550,1377691,136402,2368320,16,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,9829344,9655652,195753,84526,199484,66287,806429,1048624,-136314880
tensor_unfold_1_32x32x32x32,cpu,5044393,11714906,13054396,395348,152075,359668,133376,1611942,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,9967563,9647412,195316,84006,199290,66169,801825,1048608,-136314880
tensor_unfold_2_32x32x32x32,cpu,23230414,29872650,15370216,1144977,151677,1359978,134978,2358386,0,-136314880
tensor_unfold_2_32x32x32x32,dtu,0,9989817,9647412,195323,84161,199229,66138,803057,1048608,-136314880
tensor_unfold_3_32x32x32x32,cpu,81693649,88332887,15471131,1148006,152336,1362653,135961,2366702,0,-136314880
tensor_unfold_3_32x32x32x32,dtu,0,9821720,9654232,195612,84449,199517,66262,805648,1048608,-136314880
tensor_unfold_4_32x32x32x32,cpu,93302932,99934967,15502784,1147773,152990,1377845,136462,2371676,48,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,9813624,9648860,195474,84234,199256,66150,803799,1048608,-136314880
tensor_unfold_1_32x32x32x32,cpu,4992354,11688919,13045968,394847,151178,359851,133356,1604265,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,10007759,9654204,195678,84349,199429,66243,804924,1048608,-136314880
tensor_unfold_2_32x32x32x32,cpu,23224089,29897312,15377000,1144918,152279,1359870,134937,2363143,0,-136314880
tensor_unfold_2_32x32x32x32,dtu,0,9993360,9654204,195713,84451,199463,66241,805774,1048640,-136314880
tensor_unfold_3_32x32x32x32,cpu,81789288,88416752,15480841,1148712,152761,1363140,136074,2370810,0,-136314880
tensor_unfold_3_32x32x32x32,dtu,0,9829390,9647412,195340,84258,199278,66165,803858,1048608,-136314880
tensor_unfold_4_32x32x32x32,cpu,93270092,99914277,15484132,1147202,152153,1377891,136284,2364428,0,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,9834975,9655733,195742,84388,199582,66275,805294,1048624,-136314880
tensor_unfold_1_32x32x32x32,cpu,5016035,11718221,13054399,395575,151773,359518,133291,1609766,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,10006632,9654204,195591,84444,199442,66274,805589,1048608,-136314880
tensor_unfold_2_32x32x32x32,cpu,23160609,29817414,15361442,1143141,151763,1359701,134894,2357238,0,-136314880
