benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_unfold_1_32x64x64x128,cpu,360069528,875709455,350318830,18306374,8404584,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,508293244,224143199,10679749,3373694,2113929216
tensor_unfold_2_32x64x64x128,cpu,469147754,985514989,383755439,25940681,14340364,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,508495101,224161349,10704318,3374135,2113929216
tensor_unfold_3_32x64x64x128,cpu,1401097495,1916868864,385321881,33504352,21652574,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,508787444,224182598,10698222,3374237,2113929216
tensor_unfold_4_32x64x64x128,cpu,2127928067,2644454515,384870692,47540299,21651236,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,605714363,224309737,10576578,3382043,2113929216
tensor_unfold_1_8x64x64x128,cpu,118310533,215381321,73352960,3665895,2930335,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,119558481,55849444,2529363,826386,-545259520
tensor_unfold_2_8x64x64x128,cpu,117668788,243673755,95661082,6563173,3462612,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,119267772,55855632,2523009,826717,-545259520
tensor_unfold_3_8x64x64x128,cpu,349497039,475547506,96022042,8469713,5362239,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,119444315,55848070,2526707,826593,-545259520
tensor_unfold_4_8x64x64x128,cpu,531205075,657363399,95928453,11953632,5378921,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,147439709,55901263,2472549,828786,-545259520
tensor_unfold_1_32x64x64x128,cpu,359268081,874890288,350315049,18280720,8416390,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,517988407,224165611,10690487,3526704,2113929216
tensor_unfold_2_32x64x64x128,cpu,469613350,986167996,383757848,25969314,14282308,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,518509637,224174521,10730897,3528401,2113929216
tensor_unfold_3_32x64x64x128,cpu,1415252314,1931083341,385368172,33536448,21656140,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,518685635,224170016,10704551,3526589,2113929216
tensor_unfold_4_32x64x64x128,cpu,2109025256,2624664319,384834736,47508513,21683864,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,626724127,224361805,10654073,3536043,2113929216
tensor_unfold_1_8x64x64x128,cpu,158066897,284017064,103304782,5222641,2988917,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,119458215,55840981,2527427,825848,-545259520
tensor_unfold_2_8x64x64x128,cpu,117462988,243524231,95640766,6554749,3462914,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,119220926,55840714,2524268,826215,-545259520
tensor_unfold_3_8x64x64x128,cpu,349482960,475485389,96030825,8466348,5363080,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,119487727,55863083,2525225,827104,-545259520
tensor_unfold_4_8x64x64x128,cpu,531172880,657002667,95929099,11937907,5379282,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,147468396,55894245,2471485,828368,-545259520
tensor_unfold_1_32x64x64x128,cpu,359798773,875257912,350290187,18308475,8416821,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,508335019,224152403,10689859,3372982,2113929216
tensor_unfold_2_32x64x64x128,cpu,469181173,985567784,383763356,25929432,14284904,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,508666397,224139914,10714882,3373490,2113929216
tensor_unfold_3_32x64x64x128,cpu,1414832463,1931005256,385370954,33556663,21652489,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,508403891,224148977,10699524,3373645,2113929216
tensor_unfold_4_32x64x64x128,cpu,2108517977,2625108112,384858767,47526458,21684186,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,605128659,224329013,10565003,3381948,2113929216
tensor_unfold_1_8x64x64x128,cpu,158095712,283985906,103311457,5222130,2989635,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,119843571,55849105,2538775,826612,-545259520
tensor_unfold_2_8x64x64x128,cpu,117334097,243416456,95629948,6552797,3460748,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,119554700,55865705,2532409,827183,-545259520
tensor_unfold_3_8x64x64x128,cpu,349540969,475687522,96020365,8473385,5362307,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,119747489,55856236,2536706,827240,-545259520
tensor_unfold_4_8x64x64x128,cpu,531060614,657053688,95894337,11945589,5378155,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,147572481,55909029,2473497,828893,-545259520
tensor_unfold_1_32x64x64x128,cpu,359337827,875123939,350312486,18284854,8418162,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,507678412,224118417,10658924,3371926,2113929216
tensor_unfold_2_32x64x64x128,cpu,469958093,986645626,383758547,26013846,14286189,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,508798939,224151106,10718336,3374311,2113929216
tensor_unfold_3_32x64x64x128,cpu,1415055094,1930518611,385356903,33496476,21652620,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,508349152,224141388,10681718,3373843,2113929216
tensor_unfold_4_32x64x64x128,cpu,2108829772,2624867000,384838776,47509244,21680179,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,605177519,224316024,10546160,3381308,2113929216
tensor_unfold_1_8x64x64x128,cpu,157756872,283736202,103303312,5212502,2988677,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,119682560,55840701,2532516,826101,-545259520
tensor_unfold_2_8x64x64x128,cpu,117584797,243575244,95630067,6561850,3461561,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,119409167,55872191,2527402,826820,-545259520
tensor_unfold_3_8x64x64x128,cpu,349624505,475588170,96009987,8472558,5361558,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,119434543,55862550,2521983,826782,-545259520
tensor_unfold_4_8x64x64x128,cpu,531003622,657008283,95901787,11939220,5378596,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,147538564,55902521,2479286,828571,-545259520
tensor_unfold_1_32x64x64x128,cpu,359332096,874985090,350325554,18270240,8418276,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,507801051,224151972,10661528,3373127,2113929216
tensor_unfold_2_32x64x64x128,cpu,469931072,986601962,383773285,25988211,14282450,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,508328581,224150540,10701629,3374282,2113929216
tensor_unfold_3_32x64x64x128,cpu,1414092310,1930749958,385396066,33533882,21656887,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,508560079,224149367,10693694,3373539,2113929216
tensor_unfold_4_32x64x64x128,cpu,2107821062,2624120067,384826983,47514688,21682704,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,605486027,224325353,10555002,3382216,2113929216
tensor_unfold_1_8x64x64x128,cpu,157913814,283862238,103300545,5221955,2989124,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,119710342,55847358,2535077,826768,-545259520
tensor_unfold_2_8x64x64x128,cpu,117288009,243172712,95620473,6542159,3461320,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,119695621,55855397,2538300,827014,-545259520
tensor_unfold_3_8x64x64x128,cpu,349570571,475373384,96037698,8462366,5362523,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,120966624,55858726,2540924,846114,-545259520
tensor_unfold_4_8x64x64x128,cpu,531072197,657280911,95916861,11951000,5378373,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,149104261,55902787,2495010,846249,-545259520
tensor_unfold_1_32x64x64x128,cpu,359461123,875199499,350324730,18295068,8418323,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,507676590,224151760,10661413,3373947,2113929216
tensor_unfold_2_32x64x64x128,cpu,469702636,986401800,383743995,25985420,14281247,2113929216
