benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
vol2col_k2_16x128x128,cpu,54625028,65873565,94020621,856168,406289,1288445,617630,4106481,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,13067512,15840853,138389,19122,145474,17763,169845,1944192,29022414.827467
vol2col_k3_16x128x128,cpu,170325655,203111237,290621794,2570550,1195434,4007362,1904843,12134022,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,40857143,48717559,393891,20349,424878,23001,181085,6009472,89982817.314302
vol2col_k4_16x128x128,cpu,369498692,443189464,630384547,5488876,2557917,8677398,4061739,25952213,16,194920349.542969
vol2col_k4_16x128x128,dtu,0,90193585,105329076,839515,22114,959983,26874,200999,13046848,194920349.542969
vol2col_k2_16x128x128,cpu,55040733,65784734,93766802,854103,405169,1280706,622242,4095466,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12685687,15867706,138268,19245,142844,16430,171172,1936896,29022414.827467
vol2col_k3_16x128x128,cpu,170366402,203184864,290630546,2572759,1196093,3999892,1901517,12141505,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,41050970,48725576,395032,20450,421092,19188,182679,6015120,89982817.314302
vol2col_k4_16x128x128,cpu,369947171,441416730,629059658,5502197,2555846,8646141,4048708,25948966,16,194920349.542969
vol2col_k4_16x128x128,dtu,0,90139680,105322279,839538,21583,959816,26572,196749,13047120,194920349.542969
vol2col_k2_16x128x128,cpu,23016250,33736499,68921583,814518,393337,880103,381270,3961219,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12613477,15840853,137410,19059,144595,18463,168835,1936768,29022414.827467
vol2col_k3_16x128x128,cpu,170564171,203361982,290579661,2572057,1196715,3991882,1900040,12145782,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,40981951,48716104,394307,20339,421163,19414,181294,6011472,89982817.314302
vol2col_k4_16x128x128,cpu,370412664,441973506,629086016,5505957,2556394,8672931,4059467,25957112,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,90282060,105329102,839612,22210,960847,25802,201870,13046576,194920349.542969
vol2col_k2_16x128x128,cpu,23057431,33801568,68929934,814454,392554,881353,382743,3954896,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12839720,15840853,137448,19140,143431,17771,169505,1936768,29022414.827467
vol2col_k3_16x128x128,cpu,170552946,203339804,290620344,2570393,1196043,3997324,1904902,12138738,16,89982817.314302
vol2col_k3_16x128x128,dtu,0,40995324,48716104,394404,20406,421136,19253,181974,6010736,89982817.314302
vol2col_k4_16x128x128,cpu,369022814,440499668,629086806,5478603,2555616,8664878,4049932,25923532,16,194920349.542969
vol2col_k4_16x128x128,dtu,0,90251981,105330885,840300,21839,959114,25936,199581,13046928,194920349.542969
vol2col_k2_16x128x128,cpu,23011308,33753072,68920131,813510,393144,881408,382827,3958664,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12841534,15840853,137433,19250,143703,17775,170381,1936704,29022414.827467
vol2col_k3_16x128x128,cpu,170585853,203331655,290587844,2575562,1196458,4010948,1907767,12147228,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,40759122,48717658,394702,20759,422542,20596,184974,6012800,89982817.314302
vol2col_k4_16x128x128,cpu,369742593,441434037,629070888,5477644,2556212,8666647,4055109,25927342,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,90248194,105329080,839916,21915,960569,25916,199707,13048464,194920349.542969
vol2col_k2_16x128x128,cpu,23019434,33775903,68928892,814115,393241,881372,382814,3960053,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12852682,15840853,137392,19336,143497,17799,171012,1936832,29022414.827467
vol2col_k3_16x128x128,cpu,170702884,203478987,290577955,2584534,1196548,3995247,1898107,12156921,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,40796777,48722896,394668,21134,422729,20684,187870,6013808,89982817.314302
vol2col_k4_16x128x128,cpu,369015679,440533443,629062203,5495418,2556061,8652601,4045935,25943908,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,90237727,105329519,839913,22108,960187,25739,201287,13047856,194920349.542969
vol2col_k2_16x128x128,cpu,23017656,33776170,68926923,813809,393259,881308,382923,3959882,16,29022414.827467
vol2col_k2_16x128x128,dtu,0,12870561,15847645,137596,19403,143918,17968,171774,1936752,29022414.827467
vol2col_k3_16x128x128,cpu,170667645,203407705,290569792,2583158,1196545,3986529,1897068,12155520,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,40762642,48716104,394687,20826,422909,20641,185485,6012976,89982817.314302
vol2col_k4_16x128x128,cpu,371035483,442552182,629062925,5511742,2556396,8683631,4063785,25962912,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,90273510,105330305,840369,21898,960315,25801,200142,13046576,194920349.542969
vol2col_k2_16x128x128,cpu,23012435,33766884,68926923,814149,393145,881512,382950,3959311,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12845317,15840853,137415,19179,143441,17810,169793,1936864,29022414.827467
vol2col_k3_16x128x128,cpu,170753269,203513257,290587535,2583139,1196510,3991503,1901917,12155221,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,40795171,48717790,394799,20757,422829,20592,185013,6013344,89982817.314302
vol2col_k4_16x128x128,cpu,369336838,440907649,629066764,5506032,2556663,8651499,4045089,25959338,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,90245777,105329519,839952,22020,960481,25985,200635,13047504,194920349.542969
vol2col_k2_16x128x128,cpu,23024763,33782932,68928449,814232,393232,881304,382861,3960093,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12833465,15840853,137403,19091,143373,17784,169087,1936704,29022414.827467
vol2col_k3_16x128x128,cpu,170907992,203683640,290578446,2586719,1196528,4004044,1904796,12158945,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,40828000,48734428,395004,21200,423142,20699,188808,6012624,89982817.314302
vol2col_k4_16x128x128,cpu,370449588,442002938,629060513,5509058,2556624,8661998,4058025,25962061,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,90274122,105332601,840356,21784,960503,25611,199293,13045248,194920349.542969
vol2col_k2_16x128x128,cpu,23016900,33767918,68920131,813750,393098,881390,382863,3958538,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12847826,15840853,137503,18941,143825,17809,167991,1936784,29022414.827467
vol2col_k3_16x128x128,cpu,170314623,203084271,290562044,2571103,1196518,3994960,1895395,12143249,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,40815631,48724569,395273,20777,422834,20599,185644,6013392,89982817.314302
vol2col_k4_16x128x128,cpu,369431946,440918046,629061194,5503768,2556175,8637562,4041670,25953170,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,90082056,105322732,839793,21908,962669,28577,199520,13048336,194920349.542969
