benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash,stride2_size,img_size,stride
tensor_slicing_512x64x64x8_1x1x2x4,cpu,24461183,51969242,47880191,2141357,1174530,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28813521,26046815,1371897,895733,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,0,dtu,27848264,28072806,993336,420294,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x8,cpu,16267482,28535126,23991936,1301440,854705,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,17946845,13119823,907851,718862,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,0,dtu,13202593,14024721,430441,205466,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9530822,13312341,7677014,743788,701438,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10530337,4447249,630635,634337,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,0,dtu,3965411,4825813,140244,97792,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5403278,7030417,4008646,369541,328711,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,5932941,2336513,319856,294661,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,0,dtu,1951860,2459725,70194,46511,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2810506,3549356,2158406,184115,161837,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3064432,1289403,159473,146243,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,0,dtu,968928,1280077,34796,20967,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x4,cpu,24537106,49053300,47655626,2127785,1162445,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28378456,25999920,1351254,887693,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,0,dtu,25845614,27955952,846713,411084,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10554082,16590174,15023838,942657,834572,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12333444,8643106,743074,703627,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,0,dtu,8104174,9551197,279651,197562,385875968,2,512x64x64x8,8
